# Job started on: Mon Jan  6 22:35:58 CET 2014 .
# FONLL heavy quark hadroproduction cross section
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = charm
# final state = quark
# ebeam1 = 1375, ebeam2 = 1375
# PDF set = CTEQ6.6
# ptmin = 0.1
# ptmax = 10
# ymin  = -0.5
# ymax  = 0.5
# cross section is ds/dpt (pb/GeV)
#  pt      central
   0.1000 1.0313e+07
   0.3020 3.0019e+07
   0.5041 4.8444e+07
   0.7061 6.6324e+07
   0.9082 8.3639e+07
   1.1102 9.8568e+07
   1.3122 1.0874e+08
   1.5143 1.1340e+08
   1.7163 1.1252e+08
   1.9184 1.0741e+08
   2.1204 9.9595e+07
   2.3224 9.0374e+07
   2.5245 8.0746e+07
   2.7265 7.1368e+07
   2.9286 6.2613e+07
   3.1306 5.4688e+07
   3.3327 4.7630e+07
   3.5347 4.1412e+07
   3.7367 3.5976e+07
   3.9388 3.1249e+07
   4.1408 2.7161e+07
   4.3429 2.3632e+07
   4.5449 2.0588e+07
   4.7469 1.7962e+07
   4.9490 1.5694e+07
   5.1510 1.3730e+07
   5.3531 1.2027e+07
   5.5551 1.0554e+07
   5.7571 9.2931e+06
   5.9592 8.2074e+06
   6.1612 7.2665e+06
   6.3633 6.4464e+06
   6.5653 5.7283e+06
   6.7673 5.0989e+06
   6.9694 4.5484e+06
   7.1714 4.0654e+06
   7.3735 3.6406e+06
   7.5755 3.2661e+06
   7.7776 2.9351e+06
   7.9796 2.6418e+06
   8.1816 2.3816e+06
   8.3837 2.1508e+06
   8.5857 1.9456e+06
   8.7878 1.7627e+06
   8.9898 1.5994e+06
   9.1918 1.4534e+06
   9.3939 1.3226e+06
   9.5959 1.2051e+06
   9.7980 1.0995e+06
  10.0000 1.0044e+06
